DAY,HDFC,RELIANCE,DABUR,DLF,
442,1259.2,526.48,271.35,112.7,
443,1269.15,528.58,271.15,111.85,
444,1247.9,531.28,268.95,111.8,
445,1235.55,528.95,274.65,113.05,
446,1235.6,531.63,271.45,117.45,
447,1217.4,526.68,265.5,115.2,
448,1224.85,528.65,262.05,113.75,
449,1219.5,523.73,259.95,105.15,
450,1232.15,532.35,270.5,108.25,
451,1237.95,524.85,274.1,107.5,
452,1257.2,532.73,274.4,110.4,
453,1262.6,541.2,278.15,111.4,
454,1217.1,542.55,277.15,118.7,
455,1214,544.7,275.5,119.05,
456,1212.1,533.58,276.55,125.5,
457,1217.2,538.7,278.85,126.65,
458,1222.35,537.48,276.6,126.55,
459,1223.55,538.85,273.6,126.5,
460,1217.25,544.93,277.65,125.2,
461,1230.05,543.03,278.5,125.25,
462,1221.1,541.65,278.85,125.25,
463,1247.5,545.2,281.65,124.1,
464,1256.9,538.13,277.5,129.85,
465,1245.8,520.63,277.9,131.65,
466,1249.05,516.28,278.6,131.85,
467,1242.4,516.85,276.9,132.4,
468,1237.3,512.9,275.9,128.55,
469,1259.75,507.95,276.85,130.95,
470,1280.75,513.65,277.3,131.55,
471,1337.4,508.65,281.25,137.4,
472,1373.7,512.55,277.1,135.6,
473,1371.9,522.4,280.2,136.95,
474,1365.85,522.6,276,134.95,
475,1412.1,524.83,277.35,143.8,
476,1401.3,521.75,273.85,141.6,
477,1397.45,516.83,268.2,143.55,
478,1400.3,520.83,270.05,145.3,
479,1407.25,515.45,266.9,143.85,
480,1401.1,512.58,265.95,145.6,
481,1396.9,516.38,265.75,148.4,
482,1388.55,515.08,264.6,147.9,
483,1392.05,514.93,269.2,147.75,
484,1398.15,524.9,269.35,147.45,
485,1399.15,525.65,265.1,137.15,
486,1393.55,533.75,266,140.95,
487,1402.5,537.75,265.85,142.35,
488,1393.3,537.7,264.55,146.2,
489,1412.45,544.1,273,145.7,
490,1394.1,603.75,270.7,146.05,
491,1385.7,591.38,269.55,148.85,
492,1375.7,619.45,272.7,146.55,
493,1370.05,619.03,276.9,150.45,
494,1400.55,617.25,276.15,153.25,
495,1399,618.38,276.55,140.9,
496,1371.2,629.28,277.25,144.1,
497,1365.95,652.68,277.85,145.55,
498,1365.4,652.48,276.05,145.1,
499,1367.7,645.6,274.95,142.6,
500,1371.5,643.38,274.95,142.3,
501,1373.8,640.83,273.4,141.85,
502,1424.15,644.75,273.6,146.6,
503,1426.1,652.48,273.85,146.4,
504,1450.25,648.83,274.9,149.25,
505,1451.2,650.35,278.1,147.65,
506,1457.75,640.4,278.9,147.55,
507,1458.4,631.9,282.15,148.25,
508,1442.3,629.85,284.05,145.55,
509,1456.65,636.65,281.35,146.7,
510,1462.6,643.38,281.3,148.35,
511,1474.7,625.55,274.5,147.55,
512,1504.1,622.88,274.7,149.05,
513,1522.05,628.33,275.7,148.9,
514,1519.95,635.33,274.15,149.25,
515,1502.1,660.45,277.35,148.65,
516,1533.65,687.33,280.3,146.85,
517,1490.15,707.5,283.9,149.8,
518,1482.6,719.25,284.8,156.4,
519,1484.75,703.3,282.4,154.25,
520,1467.5,690.68,286.9,156.75,
521,1476.85,686.18,289.45,159.35,
522,1466.65,677,288.95,159.95,
523,1474.9,682.4,287.75,159.65,
524,1479.55,695.93,292.9,172.6,
525,1480.05,685.1,289.65,164.85,
526,1490.2,684.4,290.3,169.25,
527,1517.1,684.78,290.7,172.1,
528,1507.45,701.25,291.25,183.45,
529,1530.7,708.7,293.35,190.35,
530,1548.4,716.4,293.9,194.2,
531,1586,708.23,294.05,187.55,
532,1566.5,704.75,289.25,189.8,
533,1537.15,697.6,286.75,186,
534,1584.75,685.28,284.9,189.35,
535,1571.3,685.05,275.75,190.3,
536,1564.35,678.98,276.1,186.4,
537,1546.85,664.13,272.6,185.65,
538,1529.5,660.7,273.7,197.05,
539,1523.5,665.18,273.45,199.5,
540,1572,679.55,283.1,199.4,
541,1565.3,679.78,278.25,202.85,
542,1549.8,675.23,279.85,208.35,
543,1559.5,672.05,275.45,210.5,
544,1566.55,678.15,273.25,212.5,
545,1552.5,676.55,276,215.05,
546,1537.05,663.68,272.1,207.7,
547,1520.6,659.43,275.25,207.6,
548,1519.85,662.08,276.95,205.1,
549,1511.5,652.78,273.7,197.1,
550,1524.85,648.85,268.75,190.35,
551,1539.75,651.23,269,194.95,
552,1547.9,668.65,269.75,194,
553,1598.85,678.45,278.6,175.8,
554,1579.5,679.68,278.35,180,
555,1569.85,670.35,279.95,179.55,
556,1583.75,664.13,285.35,176.75,
557,1604.65,662.38,284.6,175.7,
558,1606.15,664.68,285.8,176.9,
559,1605.75,656.4,282.75,175.3,
560,1599.35,669.5,283.8,174.35,
561,1633.55,665.85,282.1,175.7,
562,1647.2,667.85,282.15,184.85,
563,1647.5,659.73,285.4,183.85,
564,1667.65,657.18,291.75,184.95,
565,1651.1,678.75,289.8,187.65,
566,1636.85,691.98,288.6,192,
567,1640.85,694.4,288.9,193.6,
568,1654.2,704.63,287.8,192.8,
569,1631.5,706.18,287.05,194.55,
570,1628.25,711,287.8,197.15,
571,1653.8,716.33,289,195.8,
572,1651.35,717.93,289.8,192.05,
573,1651.05,718.58,290,187.5,
574,1629,699.25,289.9,190.75,
575,1632.2,696.35,289.85,194.1,
576,1614.95,690,292.1,190.7,
577,1621.65,690.53,295,194.15,
578,1640.65,710.98,295.5,195.05,
579,1629.1,721.33,297.85,197.4,
580,1647.9,721.28,300.7,201.15,
581,1629.15,745.58,301.85,202.25,
582,1638.85,746.43,303.85,203.15,
583,1642.75,747.18,305.1,199,
584,1639.95,755.55,304.7,200.5,
585,1656.9,761.05,303.5,200.1,
586,1647.7,766.88,304.1,201.5,
587,1652.35,775.88,302.15,204.3,
588,1653,759.95,299.9,200.05,
589,1654.85,766.48,306.15,202.05,
590,1651,764.45,301.05,203,
591,1640.95,792.5,302.6,196.3,
592,1632.25,807.63,305.8,194.05,
593,1632.05,801.08,306.9,194.35,
594,1633.45,811.38,306.25,195.6,
595,1728.2,797.4,311.9,195.85,
596,1785.35,797.23,310.5,191.25,
597,1789.25,807.6,310,193.35,
598,1779.1,801.8,301.7,193.55,
599,1766.4,814.6,300.7,193.1,
600,1736.75,825.05,305.1,190.25,
601,1731.35,811.08,307.3,189.8,
602,1725.4,808.18,319.45,191.35,
603,1719.9,801.28,314.95,178.6,
604,1731.65,799.4,310.5,178.85,
605,1709.8,792.18,306.55,164.6,
606,1695.35,773.13,303.4,155.55,
607,1713.95,786.53,307.1,181.65,
608,1741.75,783.05,309.05,180.8,
609,1759.25,783.55,307.95,185.2,
610,1735.05,787.7,310.05,183.45,
611,1738.15,782.2,304.25,180.4,
612,1750.4,780.03,301.1,175.3,
613,1765.25,791.03,298.85,185.95,
614,1757.35,784.03,300.05,186.95,
615,1766.45,783.28,312.7,180.1,
616,1727.8,766.08,309.25,181.6,
617,1759.05,782.05,314.35,183.05,
618,1776.9,797.25,315.1,185.05,
619,1759.55,805.05,313.45,191.6,
620,1755.4,806.68,310.75,188,
621,1767.3,816.3,313.7,191.3,
622,1775,822.7,309.45,192.5,
623,1781.7,818.1,309.8,192.75,
624,1779.15,816.9,306.85,191.8,
625,1781.7,817.9,309.45,192.65,
626,1798.1,823.75,306.9,196.45,
627,1778.1,849,308.3,192.75,
628,1771.8,843.85,307.6,193.55,
629,1768.95,841.8,310.25,191.55,
630,1771.75,845.55,308.45,193.85,
631,1752.6,838.6,314.55,190.7,
632,1767.15,847.15,314.7,189.75,
633,1788.6,841.35,310.25,185.05,
634,1780.95,817.4,304.7,173.5,
635,1755.05,821.55,312.25,166.6,
636,1741.25,820.1,308.05,169.2,
637,1719.35,799.15,305.8,159.95,
638,1744.35,786.45,310.8,161.85,
639,1742.15,780.9,305,164.3,
640,1761.6,798.35,311.3,167.45,
641,1768.1,818.85,315.25,166.65,
642,1751.7,824.15,316.35,171.2,
643,1740,837.05,316.05,171.6,
644,1749.7,830.65,317.65,173.05,
645,1744.75,843.2,317.3,172.05,
646,1750.75,840.15,317.75,170.4,
647,1755.55,872.75,325.7,172.85,
648,1766.45,876.45,321.95,172.95,
649,1762.9,876.8,321.95,172.95,
650,1759.75,874.35,319.95,178.75,
651,1751.55,914.5,319.05,178.35,
652,1745.75,909.9,318.55,175.25,
653,1722.4,939.75,316.8,179.2,
654,1722.3,934.25,318.55,178.25,
655,1677.65,939.9,323.1,181.8,
656,1692.35,947.4,322.8,182.05,
657,1699.05,929.85,322.95,184.35,
658,1705.8,942.5,322.25,187.9,
659,1707.4,940.85,332.85,201.35,
660,1754.3,952.55,349.55,208.65,
661,1762.25,946.6,342.65,207.85,
662,1776.3,945.3,340.4,213.9,
663,1790.2,932.5,342.55,215.8,
664,1764.65,906.7,340.15,208.7,
665,1747.45,887.8,338.25,213.85,
666,1725.85,900.5,348.45,211.85,
667,1709.5,883.85,342.1,207.9,
668,1670.3,875.25,337.45,202.3,
669,1661.4,886.7,337.95,206.05,
670,1650.9,883.7,334.9,203.6,
671,1664.4,903.85,339.1,208.7,
672,1705.5,911.9,336.5,223.85,
673,1689.2,920.85,337.55,227.65,
674,1694.5,932.55,339.8,222.4,
675,1718.15,930.75,339.35,219.85,
676,1704.6,947,340.05,222.75,
677,1711.05,951.1,344.5,228.6,
678,1711,951.35,342.4,233.4,
679,1725.5,943.35,344.9,230.1,
680,1704.15,946,339.9,229.4,
681,1675.7,921.55,344.3,233.25,
682,1658.8,910.1,340.75,225.9,
683,1680.4,901.6,341.45,229,
684,1679.5,913.7,344.05,230.3,
685,1648.4,926.65,342.55,231.35,
686,1655.55,931.55,345.45,239.55,
687,1682.95,921,351.15,238.4,
688,1709.95,916.15,349.55,239.4,
